CHEM_METHOD,DETERMINATION_CODE_RD,DIGESTION_CODE_RD,FUSION_TYPE
ACXRF001,XRF,FU,
ACXRF002,XRF,FU,
4BTD,ICP-MS,AR,LB-F
4BWR,ICP-MS,AR,LB-F
4AWR,ICP-OES,FU,LB-F
4ALC,LECO,COMB,
4ALO,GRAV,,
3BFG,ICP-OES,FA,
3BMS,ICP-MS,FA,
G1EX,ICP-MS,4A,
4A/4B,ICP-MS/OES,4A,
1AV,ICP-MS,AR,
1F-MS,ICP-MS,AR,
AQ200,ICP-MS,AR,
LF100,ICP-MS,FU,
LF700,XRF,FU,
1DX,ICP-MS,AR,
VG101,ICP-MS,AR,
7TDA,ICP-MS,4A,
TC000,LECO,COMB,
LF300,ICP-MS,FU,LB-F
MA270,ICP-MS/OES,MA,
ES3,,,
ES1,,,
ES4,,,
ES2,,,
ES6,,,
FUS-ICPMS,ICP-MS,FU,
IC587,ICP-AES,4A,
M275,ICP-AES,FU,LB-F
MS532,ICP-MS,MA,
IC586,ICP-AES,4A,
IC588,ICP-AES,SE,
PM204,AAS,AR,
ICP43,ICP-MS,AR,
OG46,ICP-AES,MA,
AA21,AAS,FA,
AA25,AAS,FA,
Au-TL44,ICP-MS,AR,
ME-XRF11b,XRF,FU,
AA26,AAS,FA,
Au-AA23,AAS,FA,
ME-OG62,ICP-AES,4A,
ME-ICP41s,ICP-OES,AR,
ME-ICP81x,ICP-AES,FU,PEROX-F
ME-ICPDil,ICP-AES,N/S,
ME-MS61U,ICP-MS,4A,
Au-ST44,ICP-MS,AR,
ME-ICP62s,ICP-AES,4A,
ME-XRF21h,XRF,DTR,
ME-GRA05h,GRAV,,
ME-XRF15b,XRF,FU,
ME-MS82,ICP-MS/AES,4A,
Cu-AA17s,AAS,BLEG,
ME-MS81u,ICP-MS,FU,LB-F
ME-ICP61s,ICP-AES,4A,
ME-XRF11n,XRF,FU,
ME-MS23,ICP-MS,BLEG,
TL43,ICP-MS,GLEG,
Au-CN11,ICP-MS,BLEG,
Au-CN11M,ICP-MS,BLEG,
Cu-AA17t,AAS,BLEG,
ME-XRF21n,XRF,FU,
Au-AA26,AAS,FA,
Au-ZF42,AAS,AR,
ME-ICP43,ICP-AES,AR,
ME-ICP85,ICP-AES,FU,
ME-GRA05,XRF,FU,LB-F
Au-AA25,AAS,FU,
ME-MS62,ICP-MS,4A,
ME-MS61,ICP-AES,4A,
Au-TL43,AAS,AR,
ME-MS41,ICP-AES,AR,
ME-ICP61,ICP-AES,4A,
PGM-ICP27,ICP-MS,FA,
ME-ICP06,ICP-AES,FU,
OA-GRA05,GRAV,,
ME-MS42,ICP-MS,AR,
ME-MS81,ICP-MS,FU,
C-IR07,LECO,COMB,
S-IR08,LECO,COMB,
Au-AA21,AAS,FA,
AA46,ICP-MS/AES,AR,
OG62,ICP-MS/AES,4A,
U-XRF05,XRF,PP,
ME-XRF05,XRF,FU,
Sn-XRF07,XRF,PP,
OG43,AAS,AR,
PGM-ICP23,ICP-AES,FA,
Au-AA22,AAS,FA,
OG49,ICP-MS,AR,
AA23,AAS,FA,
TOT-ICP06,ICP-AES,FU,
PGM-ICP24,ICP-MS,FA,
ME-MS62s,ICP-AES,4A,
ME-XRF12n,XRF,FU,
Ag-GRA23,GRAV,,
Au-ICP22,ICP-AES,FA,
F-ELE82,SIE,FU,NaOH-F
ME-MS43,ICP-MS,AR,
ME-XRF11,XRF,FU,
ME-MS85,ICP-MS,FU,LB-F
ST43L-PKG,ICP-MS/AES,AR,
Au-ST43,ICP-MS,AR,
ME-4ACD81,ICP-MS,FU,LB-F
F-ELE81a,SIE,FU,KOH-F
F-IC881,IC,FU,KOH-F
Au-SCR22AA,AAS,FA,
ME-SCRPH22,,,
ME-ICP44,ICP-AES,AR,
ME-XRF11s,XRF,FU,
OA-GRA05t,GRAV,,
Cu-OG62,ICP-AES,4A,
Ag-OG62,ICP-AES,4A,
ME-ICP41,ICP-AES,AR,
ME-MS17,ICP-MS,MMI,
PGM-MS23,ICP-MS,FA,
ME-MS08,ICP-MS,MMI,
ME-MS18,ICP-MS,MMI,
Au-CN12,AAS,BLEG,
ME-MS61r,ICP-MS,4A,
ME-MS61L,ICP-MS/AES,4A,
Au-ICP21,ICP-MS/AES,FA,
ME-ICP61a,ICP-AES,4A,
ME-MS41L,ICP-MS,AR,
AA10,AAS,AR,
XRF6,XRF,FU,
IC1M,ICP-MS,PERC,
IC8/11,ICP-MS,MMI,
ARM2,ICP-OES,AR,
IC8M/11,ICP-MS,MMI,
IC8M/5,ICP-MS,MMI,
IC8M/35,ICP-MS,MMI,
IC8/35,ICP-MS,MMI,
